epoch,train_loss,train_acc,val_loss,val_acc,lr
0,4.600243286132812,3.266,4.078535174942017,9.11,8e-05
1,4.0926443118286135,8.34,3.7343336696624756,14.83,0.00016
2,3.83547565284729,12.67,3.47981975440979,19.6,0.00024
3,3.604290558013916,16.664,3.1984932079315187,24.92,0.00032
4,3.428083673629761,19.964,3.020769828414917,28.94,0.0004
5,3.2896500405120848,22.718,2.8156984508514404,33.55,0.00039997404499427495
6,3.1615298010253907,25.382,2.6873515106201173,35.89,0.000399896186713723
7,3.0497574562072756,27.594,2.5877858055114746,37.91,0.00039976644536646535
8,2.942657740402222,30.058,2.4682665149688723,41.04,0.0003995848546268761
9,2.8728934689331056,31.744,2.425415424346924,41.91,0.00039935146162684205
10,2.7928233755493164,33.544,2.3479178077697753,43.88,0.00039906632694352976
11,2.7301998557281495,35.072,2.2981819803237915,44.81,0.00039872952458366265
12,2.664948596420288,36.33,2.231867579269409,46.79,0.0003983411419643124
13,2.602433572540283,38.224,2.1711234300613405,48.61,0.0003979012798902102
14,2.5521531050109862,39.226,2.1361837509155275,49.38,0.00039741005252758255
15,2.5170188903045654,40.122,2.0792378973007204,51.11,0.00039686758737451954
16,2.463443429107666,41.354,2.064198445892334,51.24,0.0003962740252278827
17,2.4144672367095947,42.542,2.079973949241638,51.29,0.00039562952014676116
18,2.363766268234253,43.71,1.99765272731781,53.17,0.0003949342394124856
19,2.3136838653564453,45.4,1.9771162328720093,53.89,0.0003941883634852104
20,2.285529278564453,45.898,1.959308267211914,54.13,0.0003933920859570753
21,2.2350126908111574,47.458,1.9447459890365602,55.4,0.00039254561350195817
22,2.200448729476929,48.008,1.9195942638397216,55.92,0.00039164916582183325
23,2.164098930053711,49.18,1.8718064052581787,57.03,0.00039070297558974727
24,2.1286150800323487,50.072,1.9590293468475342,54.71,0.0003897072883894291
25,2.0928154747009278,50.94,1.8503913862228394,57.87,0.0003886623626515486
26,2.049559530944824,51.798,1.8183286254882813,58.84,0.0003875684695866409
27,2.0314236386871336,52.398,1.868129846572876,57.05,0.0003864258931147136
28,1.9962145445632935,53.41,1.80401312789917,59.53,0.0003852349297915553
29,1.9659031302642822,54.16,1.7694675304412841,60.14,0.00038399588873176487
30,1.9321239073944092,55.27,1.7733272638320923,60.06,0.0003827090915285202
31,1.9095925150680542,55.998,1.7384269781112671,60.96,0.0003813748721701091
32,1.8771888325500488,56.894,1.753727325820923,60.61,0.0003799935769532424
33,1.8589013676452637,57.46,1.8463025756835938,58.39,0.00037856556439317285
34,1.829761287460327,57.974,1.7268317195892333,60.99,0.000377091205130642
35,1.8037513277053834,58.58,1.7816010843276977,60.29,0.00037557088183568096
36,1.7733180766677856,59.776,1.6749018877029418,62.9,0.0003740049891082879
37,1.7452789511108397,60.57,1.808698734664917,60.13,0.00037239393337600983
38,1.72457082862854,61.128,1.6787926055908202,62.89,0.0003707381327884545
39,1.7048427834320068,61.504,1.7255043245315551,61.97,0.000369038017108759
40,1.6852346042251587,61.92,1.700972671699524,62.75,0.0003672940276020453
41,1.671570008430481,62.55,1.7058757831573486,62.52,0.00036550661692089
42,1.6356929711151122,63.51,1.6184844913482666,64.54,0.0003636762489878374
43,1.612457625427246,64.294,1.6706693241119386,63.6,0.0003618033988749895
44,1.5998742236328125,64.654,1.6822796081542968,63.71,0.0003598885526807003
45,1.5815270862960815,65.146,1.6712447290420531,63.89,0.000357932207403409
46,1.5561955549621582,65.992,1.7458961095809937,62.2,0.00035593487081264446
47,1.5495613637542724,65.988,1.6553946128845214,64.48,0.00035389706131723324
48,1.5406006784820556,66.242,1.6463527791976929,64.93,0.0003518193078307463
49,1.5108186237335206,67.446,1.6352974241256715,64.87,0.00034970214963422024
50,1.4989921635437011,67.584,1.5829640127182008,66.58,0.0003475461362361861
51,1.4778166048049928,68.37,1.6614310989379883,64.44,0.00034535182723004464
52,1.4604708518981933,68.818,1.6483146392822265,65.07,0.00034311979214882426
53,1.450650726852417,69.078,1.6481908628463746,65.07,0.0003408506103173579
54,1.434332625465393,69.614,1.6394381015777588,65.45,0.00033854487070191994
55,1.421879824371338,70.136,1.6410217588424683,65.37,0.00033620317175735945
56,1.4086472591781616,70.346,1.60206414604187,66.79,0.00033382612127177166
57,1.3945795204925537,70.97,1.619239330291748,66.09,0.0003314143362087462
58,1.3762973933029174,71.444,1.628418555831909,65.62,0.0003289684425472341
59,1.3658430355072022,71.716,1.6107731611251832,66.45,0.00032648907511907547
60,1.3567247826385498,72.154,1.6589877559661865,64.79,0.0003239768774442281
61,1.3421889042282105,72.588,1.657322232055664,65.44,0.0003214325015637423
62,1.3356931380462647,72.534,1.6061007572174073,66.11,0.0003188566078705235
63,1.3062026804351807,73.646,1.569614445877075,67.37,0.0003162498649379273
64,1.3048715167236329,73.74,1.597055810546875,66.91,0.00031361294934623114
65,1.2967634112548827,74.022,1.6122945985794068,66.61,0.0003109465455070278
66,1.2746981411361695,74.61,1.6516202331542968,65.91,0.0003082513454855863
67,1.2713537987899781,74.548,1.5674953407287597,67.91,0.0003055280488212266
68,1.2631859368896485,75.156,1.6109711685180663,66.87,0.0003027773623457538
69,1.2561151934814454,75.24,1.5942876962661743,67.35,0.00030000000000000003
70,1.2402376906585693,75.808,1.577926951599121,68.14,0.0002971966826485212
71,1.226377103919983,76.55,1.6137768604278564,66.99,0.00029436813789249645
72,1.2266125556564331,76.334,1.6418185691833496,66.21,0.0002915150998808791
73,1.2124064298248292,76.806,1.6068055896759033,67.51,0.0002886383091198483
