epoch,train_loss,train_acc,val_loss,val_acc,lr
0,4.109902452087402,9.064,3.643635817718506,17.63,0.00017999999999999998
1,3.948707396850586,12.17,3.4095725788116455,23.12,0.00023999999999999998
2,3.8140736617279054,14.818,3.30815175819397,25.36,0.0003
3,3.722341228103638,16.554,3.2445557052612304,26.34,0.0003
4,3.6065458741760255,19.074,3.137005002593994,29.61,0.0003
5,3.5178171352386474,21.01,2.978149168777466,34.01,0.0002999811826208493
6,3.4359708908081052,22.728,2.9443981407165527,34.21,0.0002999247353674492
7,3.3697538165283203,24.492,2.8988616554260256,35.02,0.00029983067289068735
8,3.3006502378845215,26.208,2.798736329269409,38.4,0.00029969901960448514
9,3.2463445809936524,27.354,2.7079484550476076,40.42,0.00029952980967946045
10,3.1960497759246826,28.894,2.6748625648498536,41.07,0.00029932308703405904
11,3.1552612687683106,29.714,2.6430033279418947,41.82,0.0002990789053231554
12,3.101795598678589,30.914,2.6012644504547118,43.42,0.0002987973279241265
13,3.061270409088135,31.912,2.575528503417969,44.05,0.0002984784279204024
14,3.0175333626556395,33.02,2.5376737461090086,45.0,0.00029812228808249737
15,2.972512175216675,34.166,2.522910326385498,45.94,0.00029772900084652673
16,2.9301832989501952,35.46,2.4863142074584963,46.75,0.00029729866829021504
17,2.8907130937194823,36.264,2.434983483505249,47.97,0.0002968314021064019
18,2.8594584581756592,37.18,2.3943791122436524,49.31,0.00029632732357405214
19,2.8216559329986572,38.376,2.4280658130645754,48.32,0.0002957865635267776
20,2.7804678972625734,39.122,2.337619306945801,50.93,0.00029520926231887967
21,2.7602800803375245,39.574,2.3414546783447268,51.07,0.00029459556978891975
22,2.7280044885253907,40.682,2.2804172985076905,52.65,0.0002939456452208292
23,2.6924017316436766,41.678,2.2845056842803957,52.96,0.00029325965730256685
24,2.658040192260742,42.52,2.2856338607788085,52.43,0.00029253778408233616
25,2.6347036669921877,43.3,2.2439820121765135,53.63,0.0002917802129223728
26,2.6077322508239744,43.712,2.171478650665283,55.97,0.0002909871404503148
27,2.5781793590545656,44.756,2.2096967769622804,55.83,0.00029015877250816746
28,2.5562869151306153,45.172,2.184710125350952,55.67,0.0002892953240988777
29,2.5329996110534667,45.988,2.1719512660980222,56.18,0.0002883970193305296
30,2.4969369409179687,47.048,2.2065423301696776,55.39,0.0002874640913581772
31,2.468537552871704,47.862,2.1859946432113646,55.83,0.00028649678232332913
32,2.437788712310791,48.488,2.1650082206726076,56.08,0.00028549534329110076
33,2.420252928543091,49.278,2.142599208831787,57.22,0.0002844600341850503
34,2.396248804473877,50.028,2.1244160678863526,57.99,0.00028339112371971543
35,2.365941866760254,50.85,2.099764216995239,58.43,0.0002822888893308687
36,2.3473804664611815,51.552,2.1019524536132814,58.69,0.0002811536171035087
37,2.3314125287628173,51.906,2.122425099372864,57.85,0.00027998560169760717
38,2.31077727935791,52.36,2.095533770751953,59.29,0.0002787851462716295
39,2.2898185511779787,53.054,2.102560264587402,58.97,0.0002775525624038503
40,2.2571807141113283,54.03,2.0906848348617553,59.5,0.0002762881700114829
41,2.2413284008789063,54.618,2.1136021549224853,58.94,0.00027499229726764523
42,2.2258104145812987,54.998,2.0641528800964357,60.07,0.00027366528051618214
43,2.1854530814361572,56.336,2.076891539955139,59.99,0.0002723074641843674
44,2.176814116821289,56.43,2.096584105300903,59.73,0.0002709192006935077
45,2.1410831979751586,57.766,2.0664426712036135,60.16,0.0002695008503674716
46,2.125834818763733,58.086,2.061450800895691,60.43,0.00026805278133916726
47,2.1235865869903563,58.396,2.0684838735580446,59.96,0.00026657536945499407
48,2.111152715911865,58.746,2.080537107086182,60.06,0.000265068998177291
49,2.084240399093628,59.104,2.0595645219802856,60.97,0.0002635340584848096
50,2.063027078552246,60.09,2.0804161819458007,60.57,0.00026197094877123485
51,2.0436402283477784,60.872,2.0588824201583864,61.5,0.0002603800747417823
52,2.022286957397461,61.364,2.039607932662964,61.62,0.00025876184930789754
53,2.011845280685425,61.836,2.0478353481292726,61.37,0.00025711669248008445
54,1.9850866143035888,62.602,2.039529363632202,62.11,0.0002554450312588919
55,1.9706720906829833,63.138,2.0338826526641847,61.54,0.0002537472995240855
56,1.961568493347168,63.382,2.05265123462677,61.37,0.0002520239379220344
57,1.938941314353943,64.206,2.0340934232711794,62.17,0.00025027539375134094
58,1.9211848573303223,64.744,2.0384010540008544,62.43,0.0002485021208467447
59,1.9152780002975465,65.074,2.042148606491089,62.29,0.00024670457946132966
60,1.9014226766204834,65.354,2.0436301342010497,62.26,0.00024488323614706533
61,1.8870155274963378,65.642,2.057769711303711,62.15,0.0002430385636337131
62,1.874173837738037,66.148,2.056445837020874,61.85,0.0002411710407061295
63,1.8576932820510865,66.978,2.0592081398010254,62.08,0.0002392811520799973
64,1.8513758833694458,67.154,2.062537674713135,62.46,0.00023736938827601756
65,1.8415655918121339,67.392,2.0290806468963622,62.67,0.0002354362454925951
66,1.8295479789733886,67.686,2.053610089492798,61.89,0.00023348222547705003
67,1.811665990524292,68.574,2.0375752193450927,63.16,0.00023150783539538922
68,1.7904745002746583,69.224,2.023547494125366,62.87,0.00022951358770067145
69,1.7925050160217286,69.238,2.041889415359497,62.94,0.0002275
70,1.772785066986084,69.578,2.0431543155670164,62.97,0.00022546759492017787
71,1.7702259162902831,69.958,2.029616577911377,63.13,0.00022341689997205992
72,1.7488308698272705,70.52,2.035054071807861,62.88,0.0002213484474136373
73,1.7569771919250488,70.24,1.9905507766723634,63.89,0.00021926277411189
74,1.7355476037597657,70.786,2.0212978046417236,63.29,0.00021716042140344284
75,1.7177700019836426,71.478,2.0335650581359865,63.04,0.00021504193495406172
76,1.7126615423202514,71.84,2.0502534603118896,62.52,0.00021290786461702584
77,1.7033336806488037,71.99,2.0205501083374022,63.62,0.00021075876429041336
78,1.6916292488098144,72.282,2.0380833881378173,63.51,0.00020859519177333704
79,1.6869344910049437,72.582,2.0350299270629884,63.02,0.00020641770862116766
80,1.6687279132080077,73.0,2.0259869747161865,63.67,0.00020422687999978198
81,1.6715347287750244,73.156,2.013755516433716,63.68,0.00020202327453887402
82,1.6535588857269288,73.64,2.0172065443038942,63.77,0.0001998074641843674
83,1.6511169172668456,73.708,2.008215497970581,63.91,0.0001975800240499665
84,1.6389977947235108,74.028,2.0258770336151124,63.82,0.00019534153226788566
85,1.6319077589035034,74.288,2.0109769920349123,63.99,0.00019309256983879514
86,1.6251360773468018,74.54,2.0341270584106446,63.73,0.00019083372048102213
87,1.6155233658599855,75.004,2.016655290222168,63.87,0.00018856557047904673
88,1.6034360928726197,75.208,2.003086066055298,64.75,0.00018628870853133192
89,1.598730259780884,75.428,2.0266991786956785,64.12,0.00018400372559752647
90,1.5928497915267945,75.756,2.0113706554412842,64.52,0.00018171121474508167
91,1.586672872543335,75.868,2.012797428894043,64.74,0.0001794117709953206
92,1.5785505728912355,76.066,2.011059403991699,64.18,0.0001771059911690001
93,1.582944582748413,75.96,2.0041820232391356,64.23,0.00017479447373140608
94,1.5612273385620117,76.792,2.00587371673584,64.26,0.00017247781863702184
95,1.5551031884002686,76.86,2.0079332201004028,64.51,0.00017015662717380977
96,1.5517208969116212,77.044,1.9958378215789796,64.79,0.000167831501807147
97,1.5421296196746825,77.348,1.9949861797332764,64.51,0.00016550304602345556
98,1.5369497155761718,77.6,2.0148917293548583,64.4,0.00016317186417356738
99,1.5313893046569824,77.554,2.008243469619751,64.72,0.0001608385613158652
100,1.526753684577942,77.81,1.9999723693847655,65.13,0.00015850374305923922
101,1.5155882585906983,78.07,2.00665716381073,65.27,0.00015616801540590156
102,1.5111303302764894,78.328,1.9974520536422729,65.23,0.00015383198459409847
103,1.5001911214447021,78.734,2.003635794830322,64.92,0.0001514962569407608
104,1.4967569720840455,78.564,1.972260083770752,65.78,0.0001491614386841348
105,1.4941553413391113,78.908,1.98364544506073,65.48,0.0001468281358264326
106,1.4858444554138184,79.148,2.001012586212158,65.14,0.00014449695397654447
107,1.473539688911438,79.454,1.9936029933929444,65.16,0.00014216849819285304
108,1.4717137740325927,79.738,1.987473156929016,65.35,0.00013984337282619023
109,1.4733871292877196,79.346,2.0037525642395018,65.02,0.00013752218136297813
110,1.4542795017242431,80.138,1.9991599388122558,65.23,0.00013520552626859392
111,1.455916919593811,79.998,1.9938800704956054,65.49,0.00013289400883099992
112,1.4499592905426026,80.324,1.976451239013672,65.6,0.0001305882290046794
113,1.4435520407867433,80.468,1.9862476440429688,65.47,0.00012828878525491836
114,1.440922806816101,80.462,1.9893583650588988,65.12,0.00012599627440247355
115,1.4272560824584961,80.838,1.9740497024536132,65.65,0.00012371129146866814
116,1.4262635219955444,81.086,1.9735924995422363,66.09,0.0001214344295209533
117,1.4290601447296143,80.92,1.973660587120056,65.7,0.00011916627951897794
118,1.412489372406006,81.416,1.9848060802459717,65.88,0.00011690743016120494
119,1.410591890258789,81.42,1.9641362270355225,66.0,0.00011465846773211438
120,1.4022081606292724,81.81,1.9650293905258178,66.12,0.00011241997595003357
121,1.3895047423934936,82.16,1.9702242893218995,65.91,0.00011019253581563264
122,1.3956501538085937,81.874,1.9593686428070067,66.51,0.00010797672546112602
123,1.3970149781799317,81.824,1.9656510452270508,66.09,0.00010577312000021809
124,1.3853128770446776,82.104,1.9731604381561278,66.1,0.00010358229137883237
