epoch,train_loss,train_acc_clean,val_loss_raw,val_acc_raw,val_loss_ema,val_acc_ema,lr,epoch_time_sec
0,4.378338576965332,4.718,3.8327255916595457,12.67,3.8233180431365965,12.6,0.00016,276.09512186050415
1,4.149555282821655,7.366,3.5213209182739256,18.01,3.517589552307129,18.01,0.00024,279.217157125473
2,4.037712798461914,8.922,3.3555346557617187,21.89,3.2959290557861327,23.11,0.00032,277.70712184906006
3,3.9354196018981935,10.708,3.1983445068359373,25.35,3.1841972263336182,25.69,0.0004,276.0050711631775
4,3.851125386734009,11.506,2.9751249477386477,28.6,2.9583513912200927,30.69,0.00039997404499427495,277.11692810058594
5,3.7205865795898436,13.864,2.7725445083618165,33.72,2.789937674713135,34.07,0.000399896186713723,279.6146869659424
6,3.6655550662231446,14.944,2.8313414379119872,33.6,2.721337610626221,36.06,0.00039976644536646535,280.2814700603485
7,3.6526434468078612,15.36,2.7369803676605224,33.98,2.6324973293304446,37.81,0.0003995848546268761,277.5939290523529
8,3.5709193029785156,15.644,2.607041770172119,37.6,2.5128215381622314,39.78,0.00039935146162684205,284.2395429611206
9,3.516397141723633,16.56,2.426346061706543,41.45,2.45454832611084,42.02,0.00039906632694352976,278.2662978172302
10,3.438433813934326,19.304,2.411771411895752,42.09,2.3240153270721438,44.3,0.00039872952458366265,274.6403138637543
11,3.4166330086517336,19.448,2.373156377029419,43.56,2.290012479019165,45.88,0.0003983411419643124,276.43202090263367
12,3.3743674813842772,20.636,2.2608106727600097,45.24,2.2066662200927736,47.33,0.0003979012798902102,276.3055942058563
13,3.328541670379639,20.478,2.2397989269256593,46.23,2.2464198959350585,46.59,0.00039741005252758255,276.0469081401825
14,3.3326092372894287,20.922,2.1629188762664793,48.22,2.1194844217300415,49.14,0.00039686758737451954,278.3214740753174
15,3.2189775999450685,23.072,2.1127711923599244,49.58,2.0961979698181152,49.62,0.0003962740252278827,277.8339910507202
16,3.217794753417969,24.354,2.103651928901672,49.54,2.0253881475448607,51.39,0.00039562952014676116,274.29646492004395
