epoch,train_loss,train_acc,val_loss,val_acc,lr
0,5.413940605926514,1.008,5.397356620788575,0.9,5.9999999999999995e-05
1,4.43231752243042,4.468,3.9492959770202636,11.81,0.00011999999999999999
2,4.191856650238037,7.652,3.736974754333496,16.14,0.00017999999999999998
3,4.007846406021118,10.958,3.504048834991455,20.48,0.00023999999999999998
4,3.8654704280090333,13.482,3.3273778789520265,24.05,0.0003
5,3.749451033554077,16.072,3.2264381629943846,26.98,0.0002999811826208493
6,3.6295184157562255,18.504,3.0692255237579347,30.81,0.0002999247353674492
7,3.53300494682312,20.772,2.995045624160767,32.01,0.00029983067289068735
8,3.4507049696350096,22.468,2.9783910709381103,33.47,0.00029969901960448514
9,3.38517869934082,24.072,2.8984425342559814,35.19,0.00029952980967946045
10,3.319520766220093,25.734,2.8521347801208496,36.09,0.00029932308703405904
11,3.271083179168701,26.504,2.7891468086242677,38.32,0.0002990789053231554
12,3.2186900801849365,28.062,2.7116150844573976,40.62,0.0002987973279241265
13,3.1611538169860838,29.348,2.672042295074463,40.99,0.0002984784279204024
14,3.1161556409454345,30.266,2.6167406135559084,43.43,0.00029812228808249737
15,3.0729391137695314,31.574,2.561607447052002,44.34,0.00029772900084652673
16,3.0286375018310547,32.64,2.5853547073364256,43.77,0.00029729866829021504
17,2.989952547607422,33.474,2.51935758972168,45.75,0.0002968314021064019
18,2.9571536497497557,34.566,2.501201679992676,46.26,0.00029632732357405214
19,2.9079182777404786,35.932,2.438786402130127,47.79,0.0002957865635267776
20,2.8657630267333984,36.938,2.437018214416504,48.85,0.00029520926231887967
21,2.8337615570068357,37.744,2.42891575012207,48.14,0.00029459556978891975
22,2.8049244972229004,38.648,2.410223045349121,48.9,0.0002939456452208292
23,2.767788776245117,39.278,2.342812976837158,50.82,0.00029325965730256685
24,2.7402018536376955,40.406,2.306624222946167,51.58,0.00029253778408233616
25,2.7073035886383057,41.086,2.294264161682129,52.37,0.0002917802129223728
26,2.686316916427612,41.656,2.263982316017151,53.02,0.0002909871404503148
27,2.637034612045288,43.318,2.2515243452072142,53.75,0.00029015877250816746
28,2.6262536101531984,43.154,2.258729797744751,53.86,0.0002892953240988777
29,2.582537858581543,44.554,2.271176010513306,53.36,0.0002883970193305296
30,2.56360632232666,45.304,2.211814735031128,54.71,0.0002874640913581772
31,2.5325635361480714,46.01,2.171768258857727,55.94,0.00028649678232332913
32,2.501812246398926,46.812,2.145103128051758,57.43,0.00028549534329110076
33,2.485569890136719,47.138,2.1668071102142332,56.24,0.0002844600341850503
34,2.4525070120239256,48.318,2.165524908256531,56.42,0.00028339112371971543
35,2.4281227565002443,48.77,2.1555347805023195,56.28,0.0002822888893308687
36,2.4026871574401856,49.636,2.1285524471282957,57.92,0.0002811536171035087
37,2.379149542541504,50.328,2.116851160430908,57.93,0.00027998560169760717
38,2.3531109551239013,50.912,2.1086555912017824,57.93,0.0002787851462716295
39,2.3352688828277586,51.67,2.106589115524292,58.42,0.0002775525624038503
40,2.3186853279876707,52.332,2.100068390274048,58.73,0.0002762881700114829
41,2.284568239135742,53.268,2.089996091270447,58.96,0.00027499229726764523
42,2.2681932303619385,53.81,2.0832310123443603,59.83,0.00027366528051618214
43,2.24417818359375,54.416,2.071764609527588,59.73,0.0002723074641843674
44,2.2216478442382814,54.914,2.0641074920654296,59.74,0.0002709192006935077
45,2.2016443879699708,55.634,2.089608040428162,59.69,0.0002695008503674716
46,2.1803857759857177,56.506,2.0269787921905515,60.95,0.00026805278133916726
47,2.166747880630493,57.156,2.0549014892578126,60.22,0.00026657536945499407
48,2.147694642944336,57.3,2.0526437805175783,61.05,0.000265068998177291
49,2.124033531112671,58.102,2.04001333732605,61.12,0.0002635340584848096
50,2.113965587310791,58.612,2.050295237350464,61.05,0.00026197094877123485
51,2.083070004272461,59.266,2.057857141494751,60.28,0.0002603800747417823
52,2.0628354470062256,60.042,2.0193491413116456,62.16,0.00025876184930789754
